event_date,age,gender,event_state
08/13/2020,69,male,AK
09/01/2020,54,male,AK
11/02/2020,52,male,AK
11/05/2020,21,male,AK
01/06/2020,36,male,AL
01/14/2020,57,male,AL
02/04/2020,19,male,AL
02/25/2020,23,male,AL
02/27/2020,28,male,AL
03/03/2020,39,male,
03/30/2020,30,male,AL
04/06/2020,60,female,AL
04/16/2020,48,male,AL
04/17/2020,75,female,AL
04/17/2020,65,female,AL
04/17/2020,59,male,AL
04/22/2020,39,male,AL
05/08/2020,64,male,AL
05/12/2020,36,male,AL
05/27/2020,36,male,AL
05/27/2020,58,male,AL
05/30/2020,77,female,AL
06/16/2020,49,female,AL
06/25/2020,58,male,AL
06/25/2020,25,male,AL
06/28/2020,68,female,AL
07/15/2020,63,female,AL
07/18/2020,55,male,AL
07/18/2020,54,male,AL
07/21/2020,30,male,AL
07/31/2020,64,female,AL
08/05/2020,59,female,AL
08/14/2020,72,male,AL
08/17/2020,43,male,AL
08/17/2020,52,male,AL
08/21/2020,63,male,AL
08/27/2020,56,female,AL
09/11/2020,32,male,AL
09/13/2020,70,male,AL
10/02/2020,45,male,AL
10/04/2020,26,female,AL
10/11/2020,63,male,AL
10/15/2020,40,male,AL
10/20/2020,33,male,AL
10/24/2020,32,male,AL
11/12/2020,59,male,AL
11/15/2020,55,male,AL
11/17/2020,64,male,AL
11/29/2020,67,female,AL
11/30/2020,35,male,AL
12/07/2020,25,male,AL
12/14/2020,41,male,AL
12/26/2020,35,female,AL
01/19/2020,34,male,AR
03/03/2020,57,male,AR
03/18/2020,54,male,AR
03/26/2020,64,male,AR
04/07/2020,56,male,AR
04/15/2020,20,male,AR
04/30/2020,62,male,AR
05/30/2020,22,male,AR
06/05/2020,70,male,AR
06/18/2020,32,male,AR
06/20/2020,57,male,AR
06/24/2020,53,female,AR
06/27/2020,67,male,AR
07/01/2020,44,male,AR
07/02/2020,56,male,AR
07/03/2020,65,male,AR
07/05/2020,69,male,AR
07/05/2020,54,male,AR
07/27/2020,52,male,AR
07/29/2020,77,female,AR
08/02/2020,56,male,AR
08/13/2020,42,male,AR
08/29/2020,39,male,AR
09/21/2020,41,male,AR
09/30/2020,47,female,AR
10/09/2020,70,male,AR
11/11/2020,60,female,AR
11/17/2020,60,male,AR
11/17/2020,51,female,AR
11/23/2020,68,female,AR
12/13/2020,41,male,AR
12/15/2020,,female,AR
12/17/2020,56,male,AR
12/20/2020,71,male,AR
12/30/2020,44,male,AR
01/10/2020,56,male,AZ
01/17/2020,54,male,AZ
01/21/2020,37,male,AZ
02/03/2020,56,male,AZ
02/18/2020,56,male,AZ
03/04/2020,54,male,AZ
03/17/2020,28,male,AZ
03/27/2020,55,female,AZ
03/29/2020,36,male,AZ
04/01/2020,49,female,AZ
04/02/2020,57,male,AZ
04/06/2020,50,male,AZ
04/20/2020,62,male,AZ
06/04/2020,52,male,AZ
06/14/2020,40,male,AZ
06/30/2020,49,male,AZ
06/30/2020,39,male,AZ
06/30/2020,65,male,AZ
07/06/2020,59,male,AZ
07/15/2020,46,male,AZ
07/22/2020,50,male,AZ
07/23/2020,36,male,AZ
07/23/2020,35,male,AZ
07/26/2020,49,male,AZ
08/01/2020,49,female,AZ
08/04/2020,47,male,AZ
08/06/2020,49,male,AZ
08/17/2020,48,male,AZ
09/07/2020,63,male,AZ
10/08/2020,38,male,AZ
11/01/2020,37,male,AZ
11/23/2020,68,male,AZ
12/16/2020,19,male,AZ
12/19/2020,30,male,AZ
01/03/2020,32,male,CA
01/04/2020,54,female,CA
01/08/2020,56,male,CA
01/09/2020,59,male,CA
01/10/2020,33,female,CA
01/16/2020,52,male,CA
01/20/2020,66,female,CA
01/23/2020,71,male,CA
01/24/2020,33,female,CA
01/27/2020,38,male,CA
02/04/2020,59,male,CA
02/04/2020,62,male,CA
02/05/2020,51,male,CA
02/07/2020,65,male,CA
02/09/2020,66,male,CA
02/12/2020,27,male,CA
02/13/2020,62,male,CA
02/13/2020,50,male,CA
02/18/2020,35,male,CA
02/18/2020,25,male,CA
02/22/2020,31,male,CA
02/24/2020,41,male,CA
02/27/2020,63,male,CA
02/28/2020,53,female,CA
02/28/2020,57,male,CA
03/04/2020,41,male,CA
03/04/2020,61,male,CA
03/08/2020,66,male,CA
03/12/2020,56,male,CA
03/13/2020,63,female,CA
03/15/2020,43,male,CA
03/16/2020,31,male,CA
03/18/2020,25,male,CA
03/20/2020,65,male,CA
03/20/2020,35,female,CA
03/20/2020,45,male,CA
03/28/2020,60,male,CA
03/30/2020,40,male,CA
03/30/2020,30,male,CA
03/31/2020,62,male,CA
03/31/2020,59,male,CA
03/31/2020,33,male,CA
03/31/2020,57,male,CA
04/01/2020,72,male,CA
04/03/2020,54,male,CA
04/04/2020,59,male,CA
04/06/2020,72,female,CA
04/11/2020,54,female,CA
04/11/2020,68,female,CA
04/13/2020,50,male,CA
04/13/2020,54,male,CA
04/13/2020,43,female,CA
04/13/2020,57,male,CA
04/15/2020,29,male,CA
04/15/2020,49,male,CA
04/17/2020,56,male,CA
04/18/2020,61,female,CA
04/18/2020,50,male,CA
04/20/2020,32,female,CA
04/21/2020,75,male,CA
04/21/2020,38,male,CA
04/23/2020,43,male,CA
04/23/2020,19,male,CA
04/27/2020,30,male,CA
04/27/2020,60,male,CA
04/28/2020,49,male,CA
04/28/2020,67,female,CA
04/28/2020,48,female,CA
04/29/2020,30,male,CA
04/29/2020,61,male,CA
04/30/2020,59,male,CA
05/01/2020,65,male,CA
05/03/2020,70,male,CA
05/06/2020,50,male,CA
05/07/2020,56,male,CA
05/07/2020,57,male,CA
05/08/2020,51,male,CA
05/08/2020,64,male,CA
05/09/2020,40,male,CA
05/09/2020,58,male,CA
05/10/2020,62,female,CA
05/12/2020,47,female,CA
05/13/2020,63,male,CA
05/15/2020,47,male,CA
05/16/2020,56,male,CA
05/17/2020,48,male,CA
05/19/2020,63,female,CA
05/19/2020,70,female,CA
05/20/2020,49,male,CA
05/21/2020,37,male,CA
05/21/2020,53,male,CA
05/22/2020,51,male,CA
05/22/2020,53,female,CA
05/24/2020,47,male,CA
05/24/2020,47,male,CA
05/26/2020,17,male,CA
05/26/2020,30,male,CA
05/27/2020,44,female,CA
05/28/2020,42,male,CA
05/28/2020,74,male,CA
05/28/2020,31,male,CA
05/29/2020,46,female,CA
05/29/2020,67,male,CA
05/30/2020,40,female,CA
05/30/2020,25,male,CA
05/31/2020,46,male,CA
06/01/2020,40,male,CA
06/02/2020,38,female,CA
06/03/2020,61,male,CA
06/03/2020,51,male,CA
06/04/2020,41,male,CA
06/05/2020,37,male,CA
06/05/2020,40,male,CA
06/07/2020,36,male,CA
06/07/2020,60,male,CA
06/08/2020,42,female,CA
06/08/2020,61,male,CA
06/08/2020,37,female,CA
06/08/2020,,male,CA
06/08/2020,47,male,CA
06/08/2020,64,female,CA
06/08/2020,54,male,CA
06/10/2020,21,male,CA
06/10/2020,46,male,CA
06/10/2020,48,female,CA
06/11/2020,66,male,CA
06/12/2020,62,male,CA
06/12/2020,49,male,CA
06/14/2020,67,male,CA
06/15/2020,61,male,CA
06/16/2020,45,female,CA
06/16/2020,29,male,CA
06/18/2020,67,male,CA
06/18/2020,42,male,CA
06/18/2020,66,female,CA
06/19/2020,52,male,CA
06/19/2020,50,male,CA
06/19/2020,30,male,CA
06/22/2020,46,male,CA
06/22/2020,51,female,CA
06/22/2020,58,male,CA
06/23/2020,52,male,CA
06/23/2020,63,male,CA
06/23/2020,63,female,CA
06/24/2020,27,male,CA
06/25/2020,34,male,CA
06/25/2020,61,male,CA
06/26/2020,39,male,CA
06/28/2020,60,male,CA
06/29/2020,62,female,CA
06/29/2020,52,female,CA
06/29/2020,69,male,CA
06/29/2020,55,male,CA
06/30/2020,54,male,CA
06/30/2020,86,female,CA
07/01/2020,61,male,CA
07/01/2020,19,male,CA
07/01/2020,60,male,CA
07/02/2020,60,female,CA
07/02/2020,50,male,CA
07/03/2020,39,female,CA
07/03/2020,51,female,CA
07/04/2020,50,male,CA
07/06/2020,30,male,CA
07/06/2020,41,female,CA
07/07/2020,51,male,CA
07/07/2020,31,male,CA
07/09/2020,46,female,CA
07/10/2020,35,male,CA
07/11/2020,37,male,CA
07/12/2020,63,male,CA
07/13/2020,53,female,CA
07/13/2020,64,female,CA
07/14/2020,62,female,CA
07/15/2020,65,male,CA
07/17/2020,59,female,CA
07/17/2020,54,male,CA
07/17/2020,,male,CA
07/18/2020,61,male,CA
07/18/2020,74,male,CA
07/19/2020,74,female,CA
07/20/2020,57,female,CA
07/20/2020,56,male,CA
07/21/2020,56,male,CA
07/22/2020,58,male,CA
07/23/2020,56,male,CA
07/23/2020,,male,CA
07/23/2020,62,male,CA
07/24/2020,61,female,CA
07/24/2020,52,male,CA
07/24/2020,45,male,CA
07/24/2020,54,female,CA
07/25/2020,45,male,CA
07/26/2020,65,female,CA
07/26/2020,48,male,CA
07/27/2020,61,male,CA
07/27/2020,34,male,CA
07/27/2020,58,male,CA
07/27/2020,22,male,CA
07/28/2020,64,male,CA
07/29/2020,46,female,CA
07/30/2020,62,male,CA
07/31/2020,42,male,CA
07/31/2020,30,male,CA
07/31/2020,69,male,CA
08/01/2020,50,male,CA
08/01/2020,54,male,CA
08/02/2020,73,male,CA
08/03/2020,47,male,CA
08/03/2020,78,male,CA
08/03/2020,77,male,CA
08/03/2020,36,male,CA
08/05/2020,45,male,CA
08/05/2020,55,male,CA
08/05/2020,44,female,CA
08/07/2020,60,female,CA
08/07/2020,61,male,CA
08/07/2020,50,male,CA
08/08/2020,76,female,CA
08/08/2020,54,female,CA
08/08/2020,33,male,CA
08/10/2020,48,male,CA
08/10/2020,26,male,CA
08/10/2020,71,male,CA
08/10/2020,44,male,CA
08/11/2020,45,male,CA
08/11/2020,45,male,CA
08/11/2020,68,male,CA
08/11/2020,49,female,CA
08/12/2020,54,male,CA
08/14/2020,63,male,CA
08/14/2020,68,male,CA
08/14/2020,32,female,CA
08/15/2020,54,male,CA
08/17/2020,69,male,CA
08/17/2020,59,male,CA
08/17/2020,44,male,CA
08/17/2020,51,male,CA
08/18/2020,46,male,CA
08/18/2020,64,male,CA
08/18/2020,65,male,CA
08/19/2020,60,male,CA
08/19/2020,55,male,CA
08/20/2020,55,male,CA
08/20/2020,51,male,CA
08/21/2020,33,male,CA
08/21/2020,57,male,CA
08/23/2020,29,male,CA
08/24/2020,31,female,CA
08/25/2020,,male,CA
08/26/2020,36,male,CA
08/26/2020,60,male,CA
08/27/2020,27,male,CA
08/27/2020,70,male,CA
08/27/2020,55,male,CA
08/27/2020,65,female,CA
08/28/2020,65,male,CA
08/28/2020,60,male,CA
08/30/2020,63,male,CA
08/30/2020,52,male,CA
08/31/2020,63,female,CA
08/31/2020,45,male,CA
09/01/2020,53,male,CA
09/02/2020,36,female,CA
09/03/2020,20,male,CA
09/03/2020,63,male,CA
09/03/2020,63,male,CA
09/04/2020,28,male,CA
09/04/2020,62,male,CA
09/06/2020,52,male,CA
09/06/2020,62,female,CA
09/08/2020,76,male,CA
09/08/2020,66,female,CA
09/08/2020,48,male,CA
09/09/2020,44,male,CA
09/09/2020,55,male,CA
09/10/2020,40,male,CA
09/11/2020,44,male,CA
09/12/2020,64,male,CA
09/15/2020,58,male,CA
09/15/2020,65,male,CA
09/16/2020,56,male,CA
09/17/2020,50,male,CA
09/17/2020,34,male,CA
09/17/2020,44,male,CA
09/19/2020,62,male,CA
09/20/2020,59,male,CA
09/20/2020,56,male,CA
09/21/2020,26,male,CA
09/21/2020,69,male,CA
09/21/2020,62,male,CA
09/22/2020,74,male,CA
09/23/2020,59,female,CA
09/23/2020,66,male,CA
09/28/2020,54,male,CA
09/29/2020,35,male,CA
09/29/2020,33,female,CA
09/29/2020,28,male,CA
09/30/2020,70,male,CA
10/01/2020,41,male,CA
10/04/2020,60,male,CA
10/04/2020,58,female,CA
10/05/2020,62,male,CA
10/06/2020,69,male,CA
10/07/2020,,male,CA
10/08/2020,61,male,CA
10/09/2020,48,male,CA
10/13/2020,50,male,CA
10/13/2020,70,female,CA
10/14/2020,37,female,CA
10/15/2020,32,male,CA
10/19/2020,61,male,CA
10/20/2020,40,male,CA
10/21/2020,48,male,CA
10/23/2020,,male,CA
10/24/2020,68,male,CA
10/25/2020,41,female,CA
10/27/2020,50,female,CA
10/27/2020,59,male,CA
10/30/2020,71,male,CA
11/03/2020,49,male,CA
11/09/2020,49,male,CA
11/09/2020,64,male,CA
11/09/2020,50,male,CA
11/12/2020,60,male,CA
11/13/2020,38,male,CA
11/14/2020,34,male,CA
11/14/2020,43,male,CA
11/14/2020,76,female,CA
11/17/2020,41,male,CA
11/17/2020,31,male,CA
11/17/2020,70,female,CA
11/18/2020,64,male,CA
11/18/2020,41,male,CA
11/19/2020,48,male,CA
11/20/2020,45,female,CA
11/20/2020,62,male,CA
11/22/2020,51,male,CA
11/23/2020,57,male,CA
11/23/2020,39,male,CA
11/24/2020,55,female,CA
11/24/2020,72,male,CA
11/25/2020,41,female,CA
11/28/2020,62,male,CA
11/28/2020,60,male,CA
12/01/2020,53,male,CA
12/01/2020,56,male,CA
12/01/2020,49,female,CA
12/01/2020,62,male,CA
12/02/2020,51,male,CA
12/02/2020,48,male,CA
12/03/2020,60,male,CA
12/03/2020,60,male,CA
12/03/2020,60,male,CA
12/03/2020,60,male,CA
12/04/2020,62,male,CA
12/04/2020,58,male,CA
12/04/2020,60,male,CA
12/05/2020,41,male,CA
12/05/2020,68,male,CA
12/05/2020,65,male,CA
12/06/2020,73,male,CA
12/06/2020,63,male,CA
12/07/2020,41,male,CA
12/07/2020,41,male,CA
12/07/2020,51,male,CA
12/07/2020,58,male,CA
12/08/2020,70,female,CA
12/09/2020,41,male,CA
12/09/2020,18,male,CA
12/10/2020,54,male,CA
12/10/2020,37,female,CA
12/10/2020,61,female,CA
12/11/2020,63,male,CA
12/11/2020,48,male,CA
12/12/2020,60,male,CA
12/12/2020,56,male,CA
12/12/2020,61,female,CA
12/13/2020,53,female,CA
12/13/2020,65,male,CA
12/14/2020,51,male,CA
12/14/2020,68,female,CA
12/14/2020,57,female,CA
12/14/2020,71,male,CA
12/14/2020,67,male,CA
12/14/2020,42,male,CA
12/15/2020,71,male,CA
12/15/2020,53,male,CA
12/15/2020,62,male,CA
12/16/2020,32,male,CA
12/17/2020,67,male,CA
12/17/2020,66,male,CA
12/18/2020,38,male,CA
12/18/2020,64,female,CA
12/18/2020,61,male,CA
12/20/2020,77,female,CA
12/21/2020,44,female,CA
12/21/2020,48,male,CA
12/21/2020,38,female,CA
12/22/2020,39,male,CA
12/22/2020,61,female,CA
12/23/2020,50,male,CA
12/23/2020,57,male,CA
12/24/2020,55,male,CA
12/24/2020,69,male,CA
12/25/2020,72,male,CA
12/27/2020,59,male,CA
12/27/2020,79,female,CA
12/29/2020,53,male,CA
12/30/2020,65,male,CA
12/31/2020,36,male,CA
01/01/2021,,male,CA
01/01/2021,73,male,CA
01/03/2021,26,male,CA
01/04/2021,80,female,CA
01/05/2021,60,male,CA
01/05/2021,58,female,CA
01/06/2021,51,male,CA
01/06/2021,38,male,CA
01/07/2021,52,male,CA
01/07/2021,63,male,CA
01/10/2021,52,female,CA
01/10/2021,54,male,CA
01/11/2021,50,female,CA
01/11/2021,54,male,CA
01/11/2021,37,male,CA
01/11/2021,55,male,CA
01/12/2021,63,male,CA
01/12/2021,64,male,CA
01/13/2021,73,female,CA
01/13/2021,53,female,CA
01/15/2021,54,male,CA
01/17/2021,35,female,CA
01/18/2021,60,male,CA
01/20/2021,59,male,CA
02/18/2020,53,male,CO
02/26/2020,57,male,CO
03/18/2020,62,male,CO
04/10/2020,71,female,CO
05/06/2020,65,male,CO
05/19/2020,40,male,CO
06/01/2020,64,male,CO
06/04/2020,48,male,CO
06/17/2020,24,male,CO
06/22/2020,46,male,CO
06/22/2020,25,male,CO
06/26/2020,24,male,CO
06/30/2020,34,male,CO
08/05/2020,57,male,CO
08/14/2020,52,male,CO
08/20/2020,61,male,CO
08/20/2020,45,male,CO
08/27/2020,70,male,CO
09/04/2020,53,male,CO
09/15/2020,25,male,CO
11/02/2020,51,female,CO
11/15/2020,63,male,CO
11/18/2020,49,male,CO
11/22/2020,37,female,CO
11/25/2020,43,male,CO
11/25/2020,62,male,CO
12/01/2020,55,male,CO
12/03/2020,60,male,CO
12/07/2020,45,male,CO
12/08/2020,52,male,CO
12/08/2020,61,male,CO
12/10/2020,49,male,CO
12/12/2020,56,male,CO
12/19/2020,58,female,CO
04/14/2020,53,female,CT
04/27/2020,60,female,CT
04/28/2020,57,male,CT
04/29/2020,31,female,CT
05/09/2020,66,female,CT
05/10/2020,57,male,CT
05/12/2020,24,male,CT
05/16/2020,67,female,CT
05/20/2020,52,female,CT
05/21/2020,69,male,CT
05/22/2020,59,male,CT
05/24/2020,65,female,CT
06/04/2020,52,male,CT
06/08/2020,63,male,CT
06/09/2020,47,male,CT
07/12/2020,78,female,CT
08/03/2020,65,male,CT
08/07/2020,57,male,CT
08/11/2020,43,male,CT
08/17/2020,33,male,CT
08/18/2020,28,male,CT
08/19/2020,42,male,CT
09/25/2020,34,male,CT
11/13/2020,60,male,CT
11/13/2020,36,male,CT
11/16/2020,21,male,CT
12/07/2020,57,female,CT
12/15/2020,,male,CT
04/30/2020,59,male,DC
05/19/2020,42,male,DC
05/19/2020,60,male,DC
06/17/2020,54,male,DC
06/30/2020,39,male,DC
07/22/2020,58,female,DC
09/28/2020,53,male,DC
10/23/2020,48,male,DC
12/04/2020,44,female,DC
03/05/2020,49,male,DE
03/19/2020,30,female,DE
05/10/2020,51,male,DE
06/26/2020,20,male,DE
08/06/2020,42,male,DE
09/22/2020,35,male,DE
11/02/2020,22,male,DE
11/02/2020,20,male,DE
01/01/2020,30,male,FL
01/06/2020,56,female,FL
01/07/2020,23,male,FL
01/09/2020,58,male,FL
01/13/2020,51,male,FL
01/14/2020,35,male,FL
01/17/2020,49,male,FL
01/20/2020,61,male,FL
01/21/2020,42,male,FL
01/23/2020,70,male,FL
01/29/2020,39,male,FL
01/30/2020,28,male,FL
02/10/2020,65,male,FL
02/16/2020,64,male,FL
02/22/2020,38,male,FL
02/28/2020,43,male,FL
03/05/2020,59,male,FL
03/16/2020,48,male,FL
03/17/2020,34,male,FL
03/25/2020,22,male,FL
03/25/2020,22,male,FL
03/25/2020,49,male,FL
03/30/2020,57,male,FL
04/05/2020,83,male,FL
04/05/2020,63,female,FL
04/05/2020,57,male,FL
04/09/2020,23,male,FL
04/10/2020,41,male,FL
04/13/2020,46,male,FL
04/17/2020,49,female,FL
04/20/2020,55,male,FL
04/30/2020,50,female,FL
05/01/2020,67,female,FL
05/02/2020,22,male,FL
05/03/2020,60,male,FL
05/04/2020,31,male,FL
05/04/2020,54,male,FL
05/04/2020,27,male,FL
05/04/2020,62,female,FL
05/04/2020,71,male,FL
05/07/2020,29,male,FL
05/20/2020,62,male,FL
05/20/2020,65,male,FL
05/22/2020,69,male,FL
05/27/2020,41,male,FL
05/28/2020,35,male,FL
05/28/2020,57,male,FL
06/03/2020,52,male,FL
06/03/2020,60,male,FL
06/06/2020,22,male,FL
06/09/2020,36,male,FL
06/11/2020,59,male,FL
06/15/2020,58,female,FL
06/18/2020,47,male,FL
06/23/2020,26,male,FL
06/25/2020,32,male,FL
06/29/2020,78,male,FL
06/30/2020,43,male,FL
07/02/2020,36,female,FL
07/07/2020,62,female,FL
07/07/2020,47,female,FL
07/09/2020,45,male,FL
07/12/2020,34,male,FL
07/12/2020,67,male,FL
07/13/2020,57,male,FL
07/14/2020,69,male,FL
07/15/2020,55,male,FL
07/16/2020,26,female,FL
07/24/2020,65,male,FL
07/24/2020,55,male,FL
07/24/2020,58,male,FL
07/25/2020,30,female,FL
07/25/2020,37,female,FL
07/27/2020,58,male,FL
07/27/2020,57,female,FL
07/30/2020,48,male,FL
07/30/2020,47,female,FL
07/31/2020,32,male,FL
07/31/2020,26,male,FL
08/09/2020,48,female,FL
08/11/2020,28,male,FL
08/12/2020,42,male,FL
08/14/2020,47,male,FL
08/18/2020,51,male,FL
08/18/2020,28,male,FL
08/30/2020,51,male,FL
09/08/2020,37,male,FL
09/09/2020,48,male,FL
09/12/2020,46,female,FL
09/14/2020,21,male,FL
09/15/2020,40,female,FL
09/17/2020,76,male,FL
09/21/2020,21,male,FL
09/25/2020,66,female,FL
09/28/2020,31,male,FL
09/29/2020,60,male,FL
09/29/2020,36,male,FL
09/30/2020,27,male,FL
09/30/2020,20,male,FL
10/09/2020,45,male,FL
10/21/2020,75,male,FL
10/23/2020,43,male,FL
10/26/2020,51,female,FL
10/29/2020,77,female,FL
11/25/2020,55,male,FL
11/26/2020,60,male,FL
11/27/2020,58,male,FL
12/04/2020,31,male,FL
12/06/2020,62,female,FL
12/09/2020,49,male,FL
12/09/2020,48,male,FL
12/11/2020,43,male,FL
12/14/2020,50,male,FL
12/15/2020,45,male,FL
12/29/2020,45,male,FL
12/30/2020,33,male,FL
12/31/2020,51,male,FL
01/06/2020,20,male,GA
01/08/2020,39,male,GA
01/08/2020,63,male,GA
01/15/2020,38,male,GA
01/22/2020,49,male,GA
01/28/2020,77,male,GA
02/15/2020,49,male,GA
02/22/2020,50,male,GA
03/01/2020,26,male,GA
03/04/2020,44,male,GA
03/19/2020,54,female,GA
03/21/2020,69,male,GA
04/01/2020,54,female,GA
04/02/2020,27,female,GA
04/04/2020,28,female,GA
04/21/2020,27,male,GA
04/23/2020,50,female,GA
05/01/2020,40,male,GA
05/12/2020,61,female,GA
05/13/2020,31,male,GA
05/17/2020,50,female,GA
05/19/2020,55,male,GA
05/21/2020,62,female,GA
05/25/2020,41,male,GA
05/26/2020,44,female,GA
05/27/2020,56,male,GA
06/12/2020,62,male,GA
06/14/2020,57,male,GA
06/24/2020,58,male,GA
06/25/2020,60,female,GA
07/01/2020,61,male,GA
07/03/2020,49,male,GA
07/06/2020,30,male,GA
07/07/2020,55,male,GA
07/08/2020,36,male,GA
07/09/2020,36,male,GA
07/15/2020,15,male,GA
07/16/2020,18,male,GA
07/21/2020,45,male,GA
07/22/2020,51,male,GA
07/29/2020,42,female,GA
08/04/2020,35,male,GA
08/04/2020,36,male,GA
08/09/2020,53,female,GA
08/14/2020,20,male,GA
08/14/2020,41,male,GA
08/20/2020,69,male,GA
08/24/2020,33,male,GA
09/02/2020,23,male,GA
09/03/2020,57,male,GA
09/06/2020,60,male,GA
09/08/2020,46,male,GA
09/08/2020,55,male,GA
09/11/2020,50,male,GA
09/12/2020,30,male,GA
09/20/2020,72,female,GA
09/26/2020,58,male,GA
09/28/2020,33,male,GA
10/27/2020,70,male,GA
10/27/2020,31,male,GA
11/04/2020,30,male,GA
11/07/2020,75,male,GA
11/11/2020,25,male,GA
11/24/2020,37,male,GA
11/25/2020,66,male,GA
11/30/2020,41,male,GA
12/11/2020,36,male,GA
12/12/2020,65,female,GA
12/16/2020,51,male,GA
12/18/2020,43,male,GA
12/26/2020,56,male,GA
12/27/2020,72,male,GA
12/29/2020,62,female,GA
12/30/2020,34,male,GA
10/08/2020,41,male,GU
11/15/2020,24,male,GU
05/04/2020,52,male,HI
12/08/2020,54,male,HI
02/06/2020,56,male,IA
02/14/2020,30,male,IA
02/15/2020,64,male,IA
04/27/2020,40,male,IA
05/09/2020,38,male,IA
05/23/2020,60,female,IA
06/11/2020,60,male,IA
06/11/2020,65,male,IA
06/11/2020,60,male,IA
06/11/2020,61,male,IA
07/20/2020,68,male,IA
07/21/2020,64,male,IA
08/01/2020,20,male,IA
08/01/2020,35,male,IA
08/05/2020,40,male,IA
08/05/2020,51,male,IA
08/10/2020,61,male,IA
08/10/2020,57,male,IA
08/10/2020,41,male,IA
09/13/2020,44,male,IA
09/28/2020,60,female,IA
10/04/2020,32,male,IA
10/27/2020,19,male,IA
10/30/2020,65,male,IA
11/15/2020,55,female,IA
11/21/2020,64,male,IA
03/05/2020,37,male,ID
03/24/2020,62,male,ID
04/02/2020,51,male,ID
06/02/2020,28,male,ID
06/24/2020,40,female,ID
08/18/2020,28,male,ID
09/10/2020,24,male,ID
10/05/2020,25,male,ID
11/05/2020,57,male,ID
11/10/2020,58,male,ID
01/01/2020,23,male,IL
01/08/2020,59,male,IL
01/14/2020,62,male,IL
02/06/2020,63,male,IL
02/11/2020,50,male,IL
03/10/2020,36,male,IL
03/17/2020,57,male,IL
03/25/2020,51,male,IL
03/29/2020,48,male,IL
03/31/2020,35,male,IL
04/01/2020,59,male,IL
04/02/2020,59,female,IL
04/03/2020,73,female,IL
04/07/2020,58,male,IL
04/08/2020,63,male,IL
04/09/2020,49,male,IL
04/11/2020,57,male,IL
04/12/2020,66,female,IL
04/12/2020,48,female,IL
04/13/2020,45,female,IL
04/14/2020,48,female,IL
04/14/2020,79,male,IL
04/14/2020,60,male,IL
04/16/2020,33,female,IL
04/17/2020,46,male,IL
04/18/2020,58,female,IL
04/18/2020,60,male,IL
04/18/2020,56,female,IL
04/18/2020,68,male,IL
04/19/2020,64,female,IL
04/19/2020,47,female,IL
04/20/2020,68,female,IL
04/21/2020,59,female,IL
04/21/2020,65,male,IL
04/22/2020,42,male,IL
04/22/2020,48,female,IL
04/22/2020,48,male,IL
04/23/2020,61,male,IL
04/23/2020,62,male,IL
04/24/2020,52,male,IL
04/24/2020,40,male,IL
04/24/2020,34,male,IL
04/24/2020,47,male,IL
04/24/2020,56,male,IL
04/26/2020,44,male,IL
04/27/2020,56,male,IL
04/29/2020,35,female,IL
04/30/2020,63,male,IL
05/01/2020,37,male,IL
05/01/2020,40,male,IL
05/02/2020,35,female,IL
05/02/2020,81,female,IL
05/02/2020,65,female,IL
05/02/2020,70,female,IL
05/03/2020,47,female,IL
05/05/2020,24,male,IL
05/07/2020,60,male,IL
05/09/2020,57,male,IL
05/09/2020,64,male,IL
05/09/2020,56,male,IL
05/10/2020,52,male,IL
05/10/2020,51,male,IL
05/11/2020,54,female,IL
05/12/2020,63,male,IL
05/12/2020,68,male,IL
05/13/2020,61,male,IL
05/14/2020,33,female,IL
05/14/2020,53,female,IL
05/15/2020,63,female,IL
05/16/2020,75,male,IL
05/16/2020,53,male,IL
05/18/2020,60,female,IL
05/18/2020,62,male,IL
05/18/2020,45,male,IL
05/19/2020,52,male,IL
05/20/2020,58,male,IL
05/20/2020,60,male,IL
05/21/2020,64,female,IL
05/25/2020,56,female,IL
05/25/2020,71,female,IL
05/26/2020,65,female,IL
05/27/2020,63,female,IL
05/28/2020,75,male,IL
05/30/2020,23,male,IL
05/30/2020,63,male,IL
05/31/2020,50,female,IL
06/01/2020,48,male,IL
06/01/2020,48,male,IL
06/01/2020,34,male,IL
06/05/2020,56,female,IL
06/05/2020,62,female,IL
06/07/2020,64,female,IL
06/08/2020,53,female,IL
06/09/2020,59,male,IL
06/10/2020,64,male,IL
06/15/2020,60,male,IL
06/16/2020,44,female,IL
06/18/2020,62,male,IL
06/19/2020,59,male,IL
06/24/2020,51,male,IL
06/26/2020,99,male,IL
06/28/2020,50,male,IL
06/29/2020,61,male,IL
06/30/2020,82,male,IL
07/02/2020,34,male,IL
07/08/2020,35,male,IL
07/08/2020,42,male,IL
07/10/2020,64,male,IL
07/12/2020,61,male,IL
07/13/2020,57,male,IL
07/18/2020,63,male,IL
07/24/2020,65,male,IL
07/26/2020,48,male,IL
08/07/2020,33,male,IL
08/17/2020,62,male,IL
08/18/2020,54,male,IL
08/19/2020,25,male,IL
09/04/2020,51,male,IL
09/09/2020,47,male,IL
09/14/2020,31,male,IL
09/16/2020,54,male,IL
09/28/2020,56,male,IL
09/30/2020,29,male,IL
10/08/2020,60,female,IL
10/20/2020,62,male,IL
10/23/2020,79,male,IL
10/29/2020,20,male,IL
11/02/2020,52,male,IL
11/04/2020,56,female,IL
11/09/2020,70,male,IL
